supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
karrymart,2,1,160,200,40,cash,no,yes,no,no,no,no,no,17/06/2017,no,10:58:00,morning,chain,cbd,mid,saturday,weekend,no,17,6,2017,10,A,1,1,1
karrymart,3,1,342,500,158,cash,yes,no,no,no,no,no,no,17/06/2017,no,16:30:00,evening,chain,cbd,mid,saturday,weekend,no,17,6,2017,16,B,1,1,1
chandarana,1,1,90,100,10,cash,yes,no,no,no,no,no,no,15/06/2017,no,15:01:00,afternoon,chain,karen,high,Thursday,weekend,no,15,6,2017,15,A,1,1,1
nakumatt,5,4,424,424,0,card,no,yes,yes,no,yes,yes,no,17/06/2017,no,17:08:00,evening,chain,karen,high,saturday,weekend,no,17,6,2017,17,B,1,1,1
nakumatt,1,1,71,500,429,cash,yes,no,no,no,no,no,no,17/06/2017,no,00:02:00,midnight,chain,cbd,mid,saturday,weekend,no,17,6,2017,0,A,1,1,1
tuskys,2,1,110,200,90,cash,no,no,yes,no,no,no,no,17/06/2017,no,18:27:00,evening,chain,cbd,mid,saturday,weekend,no,17,6,2017,18,A,1,1,1
nakumatt,1,1,895,1000,105,cash,no,no,no,no,no,yes,no,19/06/2017,no,12:42:00,afternoon,chain,cbd,mid,Monday,weekday,no,19,6,2017,12,A,1,1,1
acacia,1,1,44,50,6,cash,yes,no,no,no,no,no,no,24/06/2017,no,15:38:00,afternoon,small,saika,mid,saturday,weekend,no,24,6,2017,15,A,1,1,1
nakumatt,1,1,275,300,25,cash,yes,no,no,no,no,no,no,22/06/2017,no,07:29:00,morning,chain,cbd,mid,Thursday,weekday,yes,22,6,2017,7,A,1,1,1
nakumatt,2,2,115,115,0,mpesa,no,no,yes,yes,no,no,no,22/06/2017,no,07:25:00,morning,chain,cbd,mid,Thursday,weekday,yes,22,6,2017,7,A,1,1,1
nakumatt,1,1,90,90,0,cash,yes,no,no,no,no,no,no,22/06/2017,yes,07:26:00,morning,chain,junction,mid,Thursday,weekday,no,22,6,2017,7,A,1,1,1
nakumatt,2,2,2745,3000,255,cash,yes,no,no,no,yes,no,no,19/06/2017,no,16:39:00,evening,chain,cbd,mid,Monday,weekday,no,19,6,2017,16,A,3,5,1
nakumatt,1,1,55,55,0,cash,no,no,yes,no,no,no,no,19/06/2017,no,13:55:00,afternoon,chain,cbd,mid,Monday,weekday,no,19,6,2017,13,A,1,1,1
nakumatt,1,1,65,100,35,cash,no,no,yes,no,no,no,no,19/06/2017,no,18:42:00,evening,chain,cbd,mid,Monday,weekday,no,19,6,2017,18,A,1,1,1
nakumatt,1,1,35,200,165,cash,no,no,yes,no,no,no,no,01/06/2017,no,14:22:00,afternoon,chain,cbd,mid,Thursday,weekday,no,1,6,2017,14,A,1,1,1
nakumatt,1,1,50,500,450,cash,no,no,yes,no,no,no,no,19/06/2017,no,15:13:00,afternoon,chain,cbd,mid,Monday,weekday,no,19,6,2017,15,A,1,1,1
ukwala,1,1,21,100,79,cash,no,no,yes,no,no,no,no,24/05/2017,no,14:00:00,afternoon,chain,cbd,mid,Wednesday,weekday,no,24,5,2017,14,A,1,1,1
karrymart,1,1,75,1000,925,cash,no,no,yes,no,no,no,no,23/06/2017,no,22:32:00,night,chain,cbd,mid,Friday,weekday,no,23,6,2017,22,A,1,1,1
karrymart,2,1,183,500,317,cash,yes,no,no,no,no,no,no,23/06/2017,no,21:28:00,night,chain,cbd,mid,Friday,weekday,no,23,6,2017,21,A,1,1,1
tuskys,3,3,430,1000,570,cash,yes,yes,no,no,yes,no,no,02/06/2017,no,14:52:00,afternoon,chain,cbd,mid,Friday,weekday,no,2,6,2017,14,B,1,1,1
eastmatt,1,1,180,200,20,cash,yes,no,no,no,no,no,no,19/06/2017,no,08:06:00,morning,chain,cbd,mid,Monday,weekday,no,19,6,2017,8,A,1,1,1
nakumatt,2,2,525,525,0,mpesa,yes,no,no,yes,no,no,no,23/06/2017,no,23:17:00,night,chain,cbd,mid,Friday,weekday,yes,23,6,2017,23,A,1,1,1
tuskys,1,1,60,60,0,cash,no,no,yes,no,no,no,no,23/07/2017,no,16:42:00,evening,chain,karasha,mid,Sunday,weekend,no,23,7,2017,16,A,1,1,1
tuskys,1,1,94,100,6,cash,yes,no,no,no,no,no,no,23/07/2017,no,18:21:00,evening,chain,cbd,mid,Sunday,weekend,no,23,7,2017,18,A,1,1,1
nakumatt,6,4,1433,2000,567,cash,yes,yes,yes,no,yes,no,no,27/06/2017,yes,10:36:00,morning,chain,junction,mid,Tuesday,weekday,no,27,6,2017,10,B,1,1,1
tuskys,1,1,36,100,64,cash,no,yes,no,no,no,no,no,10/07/2017,no,20:58:00,night,chain,cbd,mid,Friday,weekday,no,10,7,2017,20,A,1,1,1
zucchini,4,2,1226,1226,0,card,yes,no,no,no,yes,no,no,13/07/2017,yes,08:27:00,morning,chain,junction,mid,Thursday,weekday,no,13,7,2017,8,B,1,1,1
nakumatt,1,1,28,28,0,cash,no,no,yes,no,no,no,no,15/06/2017,no,12:46:00,afternoon,chain,karen,high,Thursday,weekday,no,15,6,2017,12,A,1,1,1
tumaini,2,1,290,300,10,cash,no,yes,no,no,no,no,no,27/09/2017,no,16:30:00,evening,chain,ongata rongai,mid,Wednesday,weekday,no,27,9,2017,16,A,1,1,1
tuskys,16,5,2835,3000,165,cash,yes,yes,yes,yes,yes,no,no,01/06/2017,yes,13:05:00,afternoon,chain,greenspan,mid,Thursday,weekday,no,1,6,2017,13,B,3,5,1
tuskys,1,1,760,1000,240,cash,yes,no,no,no,no,no,no,15/06/2017,no,18:57:00,evening,chain,cbd,mid,Thursday,weekday,no,15,6,2017,18,A,1,1,1
tuskys,5,3,696,1000,304,cash,yes,no,yes,yes,no,no,no,30/06/2017,no,19:39:00,night,chain,cbd,mid,Friday,weekday,no,30,6,2017,19,B,1,1,1
tuskys,21,5,12475,12475,0,card,yes,yes,yes,yes,yes,no,no,10/07/2017,no,21:36:00,night,chain,cbd,mid,Monday,weekday,no,10,7,2017,21,B,6,8,1
cleanshelf,8,2,1225,1250,25,cash,yes,no,no,no,no,yes,no,22/09/2017,no,17:02:00,evening,chain,ongata rongai,mid,Friday,weekday,no,22,9,2017,17,B,1,1,1
