acacia,1,1,90
acacia,2,1,70
acacia,6,2,270
acacia,8,2,137
nakumatt,33,13,5611
tuskys,44,6,55
chandarana,14,2,7955
nakumatt,6,1,780
nakumatt,8,3,235
nakumatt,9,1,13005
nakumatt,6,1,431
uchumui,5,4,1000
naivas,1,2,242
naivas,2,3,4926
naivas,3,1,5439
naivas,6,1,5439
naivas,7,3,8110
naivas,5,2,221
naivas,8,1,584
karrymart,10,2,850
karrymart,23,1,90
